Name,Team,Starting season,Power_Index,FR,Events-FR,freshman PPE,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points,PPE
Faith Hefner,North Carolina State University,23,12.25,,,0,,,,,,,0,0
Abigail Kriegler,North Carolina State University,23,12.60,,,0,,,,,,,0,0
Heather MacCausland,North Carolina State University,23,6.64,48,3,16.0,,,,,,,48,16.0
Katelyn Mack,North Carolina State University,23,2.36,33,3,11.0,,,,,,,33,11.0
Madelaine Smith,North Carolina State University,22,13.88,,,0,,,,,,,0,0
Helene Synnott,North Carolina State University,23,98.60,13,3,4.333333333333333,,,,,,,13,4.333333333333333
Parker Timken,North Carolina State University,23,7.90,,,0,,,,,,,0,0
Angela Algee,University of Miami (Florida),17,3.26,6,3,2.0,27,3,40,3,30,3,103,8.583333333333334
Heather Arseth,University of Miami (Florida),15,4.39,,,0,,,0,4,0,3,0,0.0
Cheyenne Cousineau,University of Miami (Florida),16,100.00,,,0,73,3,75,3,,,148,24.666666666666668
Cameron Davis,University of Miami (Florida),17,5.32,11,3,3.6666666666666665,21,3,7,3,9,3,48,4.0
My Fridell,University of Miami (Florida),16,-1,,,0,24,3,2,3,9,3,35,3.888888888888889
Alejandra Gonzalez,University of Miami (Florida),16,33.93,,,0,0,3,0,3,0,3,0,0.0
Lindsay Lester,University of Miami (Florida),15,-1,,,0,,,27,2,,,27,13.5
Kara McCormack,University of Miami (Florida),16,100.00,,,0,80,3,,,35,2,115,23.0
Meghan Murphy,University of Miami (Florida),15,100.00,,,0,,,0,3,0,3,0,0.0
Katherine Nicholson,University of Miami (Florida),15,73.44,,,0,,,0,3,,,0,0.0
Madison Qualy,University of Miami (Florida),16,18.43,,,0,0,4,0,3,,,0,0.0
Anna Schippert,University of Miami (Florida),17,-1,3,3,1.0,12,3,19,3,0,3,34,2.8333333333333335
Tiffany Sudarma,University of Miami (Florida),17,21.61,0,3,0.0,,,,,,,0,0.0
Thea Vock,University of Miami (Florida),15,100.00,,,0,,,44,2,56,2,100,25.0
Amy Wiley,University of Miami (Florida),17,6.45,0,3,0.0,8,3,,,,,8,1.3333333333333333
Katherine Daniels,University of Miami (Florida),15,9.88,,,0,,,,,,,0,0
Cynthia Hoppler,University of Miami (Florida),15,-1,,,0,,,,,,,0,0
Jessica Hurley,University of Miami (Florida),18,25.52,0,3,0.0,,,0,2,0,2,0,0.0
Rebeka Repman,University of Miami (Florida),18,-1,0,3,0.0,0,3,,,,,0,0.0
Julie Suarez,University of Miami (Florida),18,7.89,6,5,1.2,1,3,24,3,,,31,2.8181818181818183
Tal Tahori,University of Miami (Florida),15,-1,,,0,,,,,0,3,0,0.0
Ksenia Yuskova,University of Miami (Florida),18,7.44,17,4,4.25,21,3,,,,,38,5.428571428571429
Ianire Casarin,University of Miami (Florida),19,100.00,7,3,2.3333333333333335,0,3,,,,,7,1.1666666666666667
Carolyn Chaney,University of Miami (Florida),19,100.00,49,2,24.5,,,2,2,,,51,12.75
Sophia Dal Porto,University of Miami (Florida),19,29.03,0,3,0.0,0,3,,,,,0,0.0
Madison Emery,University of Miami (Florida),19,31.93,0,3,0.0,0,3,,,,,0,0.0
Christina Leander,University of Miami (Florida),17,2.18,,,0,,,21,4,0,4,21,2.625
Marcela Maric,University of Miami (Florida),19,-1,,,0,54,2,12,2,,,66,16.5
Katherine Sickinger,University of Miami (Florida),19,28.27,0,3,0.0,0,3,0,3,0,3,0,0.0
Sydney Story,University of Miami (Florida),19,33.70,0,3,0.0,0,3,0,3,0,3,0,0.0
Roxanne Yu,University of Miami (Florida),19,-1,4,3,1.3333333333333333,4,2,0,3,0,3,8,0.7272727272727273
LEAH BROWN,University of Miami (Florida),20,67.55,0,3,0.0,,,,,,,0,0.0
Claire McGinnis,University of Miami (Florida),20,16.97,0,3,0.0,0,3,6,3,0,3,6,0.5
Chantal Noe,University of Miami (Florida),20,-1,0,3,0.0,,,,,,,0,0.0
Iliana OIKONOMOU,University of Miami (Florida),20,13.33,,,0,,,,,,,0,0
Manon Viguier,University of Miami (Florida),20,-1,7,3,2.3333333333333335,5,4,0,3,0,3,12,0.9230769230769231
Alicia Blagg,University of Miami (Florida),20,-1,,,0,45,2,64,2,,,109,27.25
Laurynn Harvard,University of Miami (Florida),21,17.92,,,0,,,,,,,0,0
Jacklyn Kleinsorgen,University of Miami (Florida),21,29.26,0,3,0.0,,,,,,,0,0.0
Sydney Knapp,University of Miami (Florida),21,18.52,0,3,0.0,0,3,0,3,,,0,0.0
Andrea Kyriakidis,University of Miami (Florida),21,7.08,24,3,8.0,,,,,,,24,8.0
Carmen San Nicolas Martinez,University of Miami (Florida),21,14.65,0,3,0.0,0,3,0,3,,,0,0.0
Chandler Sensibaugh,University of Miami (Florida),21,32.35,0,3,0.0,0,3,0,3,,,0,0.0
Alaina Skellett,University of Miami (Florida),21,11.36,0,3,0.0,0,4,13,4,,,13,1.1818181818181819
Maria Artigas Fernandez,University of Miami (Florida),22,11.23,0,3,0.0,,,,,,,0,0.0
Millie Haffety,University of Miami (Florida),22,-1,25,2,12.5,14,2,,,,,39,9.75
Chloe Hull,University of Miami (Florida),22,23.74,,,0,,,,,,,0,0
Madeline Lauther,University of Miami (Florida),22,29.27,0,3,0.0,0,3,,,,,0,0.0
Zorryonna Mason,University of Miami (Florida),22,13.32,28,4,7.0,40,4,,,,,68,8.5
Grace McGinnis,University of Miami (Florida),22,22.80,0,4,0.0,,,,,,,0,0.0
Emily Weissman,University of Miami (Florida),22,16.17,0,3,0.0,,,,,,,0,0.0
Jessie Creed,University of Miami (Florida),23,100.00,27,3,9.0,,,,,,,27,9.0
Una Forsythe,University of Miami (Florida),23,26.34,0,3,0.0,,,,,,,0,0.0
Aino Otava,University of Miami (Florida),23,9.61,0,2,0.0,,,,,,,0,0.0
Nicole Sowell,University of Miami (Florida),23,27.60,0,3,0.0,,,,,,,0,0.0
Andrea Todorovic,University of Miami (Florida),23,7.29,0,3,0.0,,,,,,,0,0.0
Isabel Traba,University of Miami (Florida),23,12.33,0,3,0.0,,,,,,,0,0.0
Mia Vall,University of Miami (Florida),23,100.00,22,2,11.0,,,,,,,22,11.0
Carolyn Blalock,"University of North Carolina, Chapel Hill",15,4.91,,,0,,,86,3,,,86,28.666666666666668
Madison Burns,"University of North Carolina, Chapel Hill",16,3.20,,,0,,,53,3,21,3,74,12.333333333333334
Rachel Canty,"University of North Carolina, Chapel Hill",16,3.38,,,0,,,,,,,0,0
Liliana Casso,"University of North Carolina, Chapel Hill",17,13.40,,,0,,,,,14,3,14,4.666666666666667
Kelly Corish,"University of North Carolina, Chapel Hill",15,100.00,,,0,,,18,3,,,18,6.0
Lauren Earp,"University of North Carolina, Chapel Hill",16,8.02,,,0,62,3,47,3,57,3,166,18.444444444444443
Abigail Fisher,"University of North Carolina, Chapel Hill",17,6.67,34,3,11.333333333333334,,,54,3,34,3,122,13.555555555555555
Annie Goessling,"University of North Carolina, Chapel Hill",17,10.88,,,0,,,,,,,0,0
Allyn Hardesty,"University of North Carolina, Chapel Hill",16,2.87,,,0,58,3,72,3,61,3,191,21.22222222222222
Annie Harrison,"University of North Carolina, Chapel Hill",16,2.18,,,0,53,3,,,51,3,104,17.333333333333332
Allison Haufler,"University of North Carolina, Chapel Hill",16,10.42,,,0,,,,,,,0,0
Sarah Hitchens,"University of North Carolina, Chapel Hill",17,2.76,31,3,10.333333333333334,59,3,55,3,70,3,215,17.916666666666668
Meredith Hoover,"University of North Carolina, Chapel Hill",15,16.42,,,0,,,71,3,,,71,23.666666666666668
Catherine Hulsey,"University of North Carolina, Chapel Hill",14,5.28,,,0,,,,,65,4,65,16.25
Danielle Jansen,"University of North Carolina, Chapel Hill",15,2.75,,,0,,,,,,,0,0
Sarah Koucheki,"University of North Carolina, Chapel Hill",17,1.67,30,3,10.0,36,3,39,3,54,3,159,13.25
Hannah Lincoln,"University of North Carolina, Chapel Hill",16,3.32,,,0,52,3,60,3,,,112,18.666666666666668
Katlyn McKay,"University of North Carolina, Chapel Hill",17,11.42,,,0,,,,,,,0,0
Hellen Moffitt,"University of North Carolina, Chapel Hill",17,2.19,31,3,10.333333333333334,78,4,82,3,87,3,278,21.384615384615383
Catherine Munch,"University of North Carolina, Chapel Hill",14,7.88,,,0,,,,,3,3,3,1.0
Emma Nunn,"University of North Carolina, Chapel Hill",16,2.08,,,0,73,3,78,3,74,3,225,25.0
Stephanie Peacock,"University of North Carolina, Chapel Hill",15,3.74,,,0,,,82,3,,,82,27.333333333333332
Emily Pfeiffer,"University of North Carolina, Chapel Hill",17,9.87,,,0,,,24,3,38,3,62,10.333333333333334
Erin Purdy,"University of North Carolina, Chapel Hill",16,100.00,,,0,20,3,,,,,20,6.666666666666667
Katherine Rechsteiner,"University of North Carolina, Chapel Hill",15,3.42,,,0,,,48,3,,,48,16.0
Kathryn Rhyne,"University of North Carolina, Chapel Hill",16,100.00,,,0,,,,,,,0,0
Natalie Ritter,"University of North Carolina, Chapel Hill",15,67.86,,,0,,,,,,,0,0
Hannah Runyon-Hass,"University of North Carolina, Chapel Hill",15,5.89,,,0,,,45,3,47,3,92,15.333333333333334
Emily Schmidt,"University of North Carolina, Chapel Hill",15,79.92,,,0,,,,,,,0,0
Danielle Siverling,"University of North Carolina, Chapel Hill",15,1.70,,,0,,,79,3,79,3,158,26.333333333333332
Carly Smith,"University of North Carolina, Chapel Hill",14,9.45,,,0,,,,,46,4,46,11.5
Kendall Surhoff,"University of North Carolina, Chapel Hill",16,5.80,,,0,,,,,,,0,0
Caroline Baldwin,"University of North Carolina, Chapel Hill",18,2.15,67,3,22.333333333333332,68,4,82,4,84,4,301,20.066666666666666
Megan Bestor,"University of North Carolina, Chapel Hill",18,1.74,51,3,17.0,,,,,,,51,17.0
Madison Boswell,"University of North Carolina, Chapel Hill",18,3.24,,,0,29,3,,,9,3,38,6.333333333333333
Elissa Dawson,"University of North Carolina, Chapel Hill",18,100.00,41,3,13.666666666666666,80,3,76,3,37,2,234,21.272727272727273
Kathryn Ford,"University of North Carolina, Chapel Hill",18,3.36,,,0,,,3,3,,,3,1.0
Emily Slabe,"University of North Carolina, Chapel Hill",18,1.75,,,0,13,3,24,3,5,3,42,4.666666666666667
Michole Timm,"University of North Carolina, Chapel Hill",15,100.00,,,0,,,,,68,3,68,22.666666666666668
Macey Arnold,"University of North Carolina, Chapel Hill",17,10.89,,,0,,,26,3,57,3,83,13.833333333333334
Kali Becker,"University of North Carolina, Chapel Hill",19,100.00,,,0,,,,,,,0,0
Kathryn Boyer,"University of North Carolina, Chapel Hill",19,11.94,,,0,,,,,,,0,0
Robyn Dryer,"University of North Carolina, Chapel Hill",19,10.18,12,3,4.0,,,29,3,27,3,68,7.555555555555555
Zhada Fields,"University of North Carolina, Chapel Hill",19,11.06,,,0,0,3,46,3,48,3,94,10.444444444444445
Maria Lohman,"University of North Carolina, Chapel Hill",19,100.00,36,3,12.0,39,3,69,3,39,3,183,15.25
Andi Mack,"University of North Carolina, Chapel Hill",19,12.17,,,0,,,,,,,0,0
Sara Maleski,"University of North Carolina, Chapel Hill",19,100.00,,,0,,,,,,,0,0
Qian Pang,"University of North Carolina, Chapel Hill",19,100.00,,,0,,,,,,,0,0
Brooke Bauer,"University of North Carolina, Chapel Hill",20,9.34,14,3,4.666666666666667,17,3,14,3,,,45,5.0
Bryanna Cameron,"University of North Carolina, Chapel Hill",20,14.17,31,3,10.333333333333334,48,3,51,3,50,3,180,15.0
Meghan Dupay,"University of North Carolina, Chapel Hill",20,12.60,,,0,,,,,,,0,0
Susanna LaRochelle,"University of North Carolina, Chapel Hill",20,12.17,24,3,8.0,18,3,,,,,42,7.0
Kylie Mihok,"University of North Carolina, Chapel Hill",20,10.25,,,0,,,,,,,0,0
Eireni Moshos,"University of North Carolina, Chapel Hill",20,3.99,1,3,0.3333333333333333,,,,,,,1,0.3333333333333333
Natalie Ward,"University of North Carolina, Chapel Hill",20,14.48,,,0,,,,,,,0,0
Erica Wirth,"University of North Carolina, Chapel Hill",20,13.92,,,0,,,,,,,0,0
Madeline Baker,"University of North Carolina, Chapel Hill",21,13.78,,,0,,,,,,,0,0
Sydney Baker,"University of North Carolina, Chapel Hill",21,5.84,12,4,3.0,,,,,,,12,3.0
Emma Cole,"University of North Carolina, Chapel Hill",21,3.32,7,3,2.3333333333333335,5,3,59,3,,,71,7.888888888888889
Caroline Guice,"University of North Carolina, Chapel Hill",21,100.00,,,0,,,,,,,0,0
Caroline Hauder,"University of North Carolina, Chapel Hill",21,2.81,60,4,15.0,55,4,74,3,,,189,17.181818181818183
Taylor Hockenberry,"University of North Carolina, Chapel Hill",21,100.00,,,0,,,7,3,,,7,2.3333333333333335
Emma Layton,"University of North Carolina, Chapel Hill",21,9.67,,,0,,,,,,,0,0
Emma McPeeters,"University of North Carolina, Chapel Hill",21,100.00,,,0,,,,,,,0,0
Brooke Perrotta,"University of North Carolina, Chapel Hill",21,3.27,43,3,14.333333333333334,,,,,,,43,14.333333333333334
Allyson Reiter,"University of North Carolina, Chapel Hill",21,9.37,30,3,10.0,21,3,32,3,,,83,9.222222222222221
Madeline Smith,"University of North Carolina, Chapel Hill",21,7.20,,,0,4,3,,,,,4,1.3333333333333333
Mary Soule,"University of North Carolina, Chapel Hill",21,6.26,10,3,3.3333333333333335,18,3,12,3,,,40,4.444444444444445
Sabrina Bunar,"University of North Carolina, Chapel Hill",22,100.00,3,2,1.5,,,,,,,3,1.5
Grace Countie,"University of North Carolina, Chapel Hill",22,2.61,35,4,8.75,57,4,,,,,92,11.5
Emily Grund,"University of North Carolina, Chapel Hill",22,100.00,66,3,22.0,64,3,,,,,130,21.666666666666668
Lillian Higgs,"University of North Carolina, Chapel Hill",22,8.98,40,3,13.333333333333334,39,3,,,,,79,13.166666666666666
Sophie Lindner,"University of North Carolina, Chapel Hill",22,7.10,9,4,2.25,56,3,,,,,65,9.285714285714286
Heidi Lowe,"University of North Carolina, Chapel Hill",22,10.84,0,4,0.0,7,3,,,,,7,1.0
Virginia Marsh,"University of North Carolina, Chapel Hill",20,9.31,,,0,,,1,3,,,1,0.3333333333333333
Paige Burrell,"University of North Carolina, Chapel Hill",23,100.00,21,3,7.0,,,,,,,21,7.0
Caroline Cooper,"University of North Carolina, Chapel Hill",23,3.78,,,0,,,,,,,0,0
Amy Dragelin,"University of North Carolina, Chapel Hill",23,11.02,10,3,3.3333333333333335,,,,,,,10,3.3333333333333335
Allison Goldblatt,"University of North Carolina, Chapel Hill",21,11.74,,,0,,,,,,,0,0
Rabea Pfaff,"University of North Carolina, Chapel Hill",23,15.51,,,0,,,,,,,0,0
Gracyn Segard,"University of North Carolina, Chapel Hill",23,100.00,21,3,7.0,,,,,,,21,7.0
Elizabeth Vannote,"University of North Carolina, Chapel Hill",23,4.89,35,3,11.666666666666666,,,,,,,35,11.666666666666666
Claire Walsh,"University of North Carolina, Chapel Hill",23,15.97,,,0,,,,,,,0,0
Molly Barry,University of Notre Dame,17,11.89,5,3,1.6666666666666667,6,3,,,,,11,1.8333333333333333
Suzanne Bessire,University of Notre Dame,15,-1,,,0,,,,,,,0,0
Hannah Bowen,University of Notre Dame,15,1.75,,,0,,,,,,,0,0
Genevieve Bradford,University of Notre Dame,16,5.30,,,0,22,3,21,3,24,3,67,7.444444444444445
Allison Casareto,University of Notre Dame,15,100.00,,,0,,,41,3,41,3,82,13.666666666666666
Bridget Casey,University of Notre Dame,15,6.88,,,0,,,44,3,15,3,59,9.833333333333334
Sarah Dotzel,University of Notre Dame,15,9.92,,,0,,,,,,,0,0
Erin Foley,University of Notre Dame,15,8.36,,,0,,,,,4,3,4,1.3333333333333333
Emma Gaboury,University of Notre Dame,16,100.00,,,0,34,3,22,3,56,3,112,12.444444444444445
Catherine Galletti,University of Notre Dame,16,2.05,,,0,,,43,4,6,3,49,7.0
Sydney Golic,University of Notre Dame,16,20.19,,,0,,,,,,,0,0
Anna Grainger,University of Notre Dame,16,6.85,,,0,,,,,,,0,0
Genevieve Heidkamp,University of Notre Dame,16,13.91,,,0,12,3,,,,,12,4.0
Elizabeth House,University of Notre Dame,17,7.37,,,0,,,,,,,0,0
Danielle Margheret,University of Notre Dame,17,6.94,9,3,3.0,34,3,28,3,1,3,72,6.0
Mikelle Masciantonio,University of Notre Dame,15,5.95,,,0,,,,,,,0,0
Christen McDonough,University of Notre Dame,15,33.45,,,0,,,38,3,,,38,12.666666666666666
Katelyn Miller,University of Notre Dame,17,1.92,59,3,19.666666666666668,40,3,6,3,21,3,126,10.5
Catherine Mulquin,University of Notre Dame,17,4.85,15,4,3.75,32,3,24,4,39,4,110,7.333333333333333
Emma Reaney,University of Notre Dame,15,3.77,,,0,,,96,4,60,5,156,17.333333333333332
Kelly Ryan,University of Notre Dame,15,3.86,,,0,,,39,4,,,39,9.75
melissa scott,University of Notre Dame,15,9.36,,,0,,,11,3,,,11,3.6666666666666665
Lauren Stauder,University of Notre Dame,15,4.44,,,0,,,23,3,,,23,7.666666666666667
Christine Stitcher,University of Notre Dame,17,100.00,,,0,6,3,,,,,6,2.0
Lindsey Streepey,University of Notre Dame,16,100.00,,,0,53,3,56,3,60,3,169,18.77777777777778
Courtney Whyte,University of Notre Dame,15,10.89,,,0,,,40,3,32,3,72,12.0
Anne Crea,University of Notre Dame,18,100.00,,,0,16,3,,,,,16,5.333333333333333
Mary Hinton,University of Notre Dame,18,17.91,,,0,,,,,,,0,0
Sherri McIntee,University of Notre Dame,18,4.39,8,3,2.6666666666666665,0,3,26,3,,,34,3.7777777777777777
Cree Stitcher,University of Notre Dame,15,-1,,,0,,,,,,,0,0
Alyssa Storino,University of Notre Dame,18,7.42,,,0,12,3,5,3,,,17,2.8333333333333335
Gaboury Streepey,University of Notre Dame,15,-1,,,0,,,,,,,0,0
Molly Treble,University of Notre Dame,18,4.27,9,3,3.0,6,3,34,3,25,3,74,6.166666666666667
Ellen Berdusco,University of Notre Dame,19,5.79,,,0,,,,,9,3,9,3.0
Nicole Emery,University of Notre Dame,18,4.30,,,0,,,,,,,0,0
Paige Kaplan,University of Notre Dame,19,11.70,,,0,,,,,,,0,0
Ella Moynihan,University of Notre Dame,19,9.31,25,3,8.333333333333334,,,,,,,25,8.333333333333334
Meaghan O'Donnell,University of Notre Dame,19,-1,8,3,2.6666666666666665,43,3,28,3,17,3,96,8.0
Tayde Revilak Fonseca,University of Notre Dame,19,22.06,,,0,,,,,,,0,0
Kyra Sarazen,University of Notre Dame,19,11.07,38,3,12.666666666666666,13,3,27,3,36,3,114,9.5
Nicole Smith,University of Notre Dame,19,5.96,12,2,6.0,33,3,44,3,60,3,149,13.545454545454545
Lindsay Sreepey,University of Notre Dame,16,-1,,,0,,,,,,,0,0
Alice Treuth,University of Notre Dame,19,10.13,35,3,11.666666666666666,46,3,42,3,38,3,161,13.416666666666666
Rebecca Walton,University of Notre Dame,19,18.46,,,0,6,3,,,,,6,2.0
Deidre Worth,University of Notre Dame,19,100.00,3,3,1.0,,,,,,,3,1.0
Claire Andrews,University of Notre Dame,20,92.69,5,3,1.6666666666666667,13,3,,,31,3,49,5.444444444444445
Claire DeSelm,University of Notre Dame,20,11.89,,,0,,,,,,,0,0
Abigail Dolan,University of Notre Dame,20,6.45,,,0,,,,,,,0,0
Lauren Heller,University of Notre Dame,20,8.06,11,3,3.6666666666666665,15,3,22,3,17,3,65,5.416666666666667
Erin Isola,University of Notre Dame,20,100.00,1,3,0.3333333333333333,34,3,49,3,28,3,112,9.333333333333334
Kelly Jacob,University of Notre Dame,20,10.21,,,0,,,,,,,0,0
Carolyn Kammeyer,University of Notre Dame,20,13.53,,,0,,,,,,,0,0
Reilly Lanigan,University of Notre Dame,20,7.79,11,3,3.6666666666666665,,,,,12,3,23,3.8333333333333335
Katherine Rentz,University of Notre Dame,20,12.99,,,0,17,3,,,6,3,23,3.8333333333333335
Erin Sheehan,University of Notre Dame,20,10.36,47,3,15.666666666666666,17,3,18,3,6,3,88,7.333333333333333
Mary Smith,University of Notre Dame,20,10.70,11,3,3.6666666666666665,,,,,,,11,3.6666666666666665
Samantha Steigerwald,University of Notre Dame,20,27.59,,,0,,,,,,,0,0
Skylar Fore,University of Notre Dame,21,6.65,14,3,4.666666666666667,12,3,,,,,26,4.333333333333333
Abigail German,University of Notre Dame,21,12.19,,,0,,,,,,,0,0
Cailey Grunhard,University of Notre Dame,21,8.98,11,3,3.6666666666666665,9,4,7,3,,,27,2.7
Kate McCahan,University of Notre Dame,21,100.00,,,0,,,,,,,0,0
Carly Quast,University of Notre Dame,21,4.73,45,3,15.0,56,4,41,4,,,142,12.909090909090908
Lindsay Stone,University of Notre Dame,21,6.16,47,3,15.666666666666666,27,3,25,3,,,99,11.0
Kelly Straub,University of Notre Dame,21,100.00,40,3,13.333333333333334,50,3,49,3,,,139,15.444444444444445
Rachel Wittmer,University of Notre Dame,21,4.51,,,0,,,,,,,0,0
Catherine Brennan,University of Notre Dame,22,32.25,,,0,,,,,,,0,0
Sinead Eksteen,University of Notre Dame,22,3.36,44,3,14.666666666666666,,,,,,,44,14.666666666666666
Samantha Eyolfson,University of Notre Dame,22,9.12,,,0,,,,,,,0,0
Madeline LaPorte,University of Notre Dame,22,8.25,14,3,4.666666666666667,23,3,,,,,37,6.166666666666667
Sarah Nicholls,University of Notre Dame,22,8.34,,,0,,,,,,,0,0
Bayley Stewart,University of Notre Dame,22,4.76,37,3,12.333333333333334,26,3,,,,,63,10.5
Tegan Sweeney,University of Notre Dame,22,19.97,,,0,,,,,,,0,0
Luciana Thomas,University of Notre Dame,22,4.06,65,3,21.666666666666668,70,3,,,,,135,22.5
Annie Wiese,University of Notre Dame,22,-1,24,3,8.0,43,3,,,,,67,11.166666666666666
Sarah Boyle,University of Notre Dame,23,10.88,,,0,,,,,,,0,0
ELIZABETH FRY,University of Notre Dame,23,6.92,17,3,5.666666666666667,,,,,,,17,5.666666666666667
Coleen Gillilan,University of Notre Dame,23,1.12,73,3,24.333333333333332,,,,,,,73,24.333333333333332
Samantha Gillis,University of Notre Dame,23,100.00,,,0,,,,,,,0,0
Meaghan Lyons,University of Notre Dame,23,20.50,,,0,,,,,,,0,0
Madison Potter,University of Notre Dame,23,6.66,,,0,,,,,,,0,0
Sydney Winters,University of Notre Dame,23,9.32,,,0,,,,,,,0,0
Emily Bolek,University of Pittsburgh,15,20.42,,,0,,,,,3,4,3,0.75
Victoria Brungo,University of Pittsburgh,15,-1,,,0,,,,,,,0,0
Kinga Cichowska,University of Pittsburgh,17,-1,14,3,4.666666666666667,39,3,46,3,12,3,111,9.25
Kimberly Ciotti,University of Pittsburgh,15,-1,,,0,,,,,,,0,0
Danielle des Tombe,University of Pittsburgh,15,7.90,,,0,,,23,4,5,3,28,4.0
Renee Deschenes,University of Pittsburgh,15,9.39,,,0,,,,,,,0,0
Bethany Dewitt,University of Pittsburgh,16,21.44,,,0,19,3,15,3,4,3,38,4.222222222222222
Camille Dixon,University of Pittsburgh,15,17.50,,,0,,,12,3,23,3,35,5.833333333333333
Catherine Dunseith,University of Pittsburgh,15,100.00,,,0,,,,,,,0,0
Margaret Feltman,University of Pittsburgh,14,51.94,,,0,,,,,,,0,0
Amanda Ford,University of Pittsburgh,16,37.43,,,0,,,,,,,0,0
julie harrison,University of Pittsburgh,15,7.90,,,0,,,15,3,,,15,5.0
Alexandra Iwanicki,University of Pittsburgh,16,19.94,,,0,,,,,,,0,0
Veronica Lee,University of Pittsburgh,15,3.88,,,0,,,32,3,,,32,10.666666666666666
Christina Lisella,University of Pittsburgh,15,43.94,,,0,,,,,,,0,0
Madeline Marcelle,University of Pittsburgh,16,39.44,,,0,,,,,,,0,0
Lauren Matevish,University of Pittsburgh,15,24.43,,,0,,,11,3,,,11,3.6666666666666665
Mackenzie Meixner,University of Pittsburgh,16,17.93,,,0,0,3,0,4,,,0,0.0
Lauren Mills,University of Pittsburgh,15,15.43,,,0,,,0,3,,,0,0.0
Jessica Nederlanden,University of Pittsburgh,15,21.43,,,0,,,0,3,,,0,0.0
Melissa Pocsai,University of Pittsburgh,17,9.44,,,0,,,0,3,0,3,0,0.0
Kaleigh Ritter,University of Pittsburgh,16,19.91,,,0,41,3,52,3,37,3,130,14.444444444444445
Lindsey Rodenkirk,University of Pittsburgh,16,48.44,,,0,,,,,,,0,0
Tatyanna Sarjeant,University of Pittsburgh,15,4.87,,,0,,,38,3,10,3,48,8.0
Rachel Saunders,University of Pittsburgh,17,100.00,21,3,7.0,2,3,,,0,3,23,2.5555555555555554
Alec Sheaffer,University of Pittsburgh,17,100.00,,,0,,,,,,,0,0
Athena Summa,University of Pittsburgh,17,12.41,5,3,1.6666666666666667,2,3,0,3,0,3,7,0.5833333333333334
Leigh Waltz,University of Pittsburgh,15,-1,,,0,,,,,,,0,0
Brooke Waugaman,University of Pittsburgh,15,9.92,,,0,,,3,3,,,3,1.0
Blair Wegescheide,University of Pittsburgh,16,54.45,,,0,16,4,28,4,9,4,53,4.416666666666667
Madeline Wells,University of Pittsburgh,14,22.50,,,0,,,,,,,0,0
Kelsey Williams,University of Pittsburgh,15,23.20,,,0,,,,,,,0,0
Samantha Winkelmann,University of Pittsburgh,16,100.00,,,0,12,3,,,0,2,12,2.4
Charlene Yuan,University of Pittsburgh,17,16.42,,,0,,,0,3,0,3,0,0.0
Sarah Zetlmeisl,University of Pittsburgh,15,53.94,,,0,,,,,,,0,0
Katriona Blezy,University of Pittsburgh,17,-1,,,0,,,,,,,0,0
Mary Blocher,University of Pittsburgh,15,4.95,,,0,,,,,,,0,0
Katherine Fernander,University of Pittsburgh,18,4.42,29,3,9.666666666666666,20,3,9,3,,,58,6.444444444444445
Danyel Johnson,University of Pittsburgh,16,22.95,,,0,,,5,3,6,3,11,1.8333333333333333
Leticia Lelli,University of Pittsburgh,16,2.51,,,0,,,3,4,0,4,3,0.375
Emily Lyons,University of Pittsburgh,17,29.43,,,0,,,,,,,0,0
Emily Murphy,University of Pittsburgh,18,11.82,0,3,0.0,11,3,0,4,,,11,1.1
Amanda Richey,University of Pittsburgh,18,3.69,40,3,13.333333333333334,31,3,68,3,64,3,203,16.916666666666668
Rachel Sauders,University of Pittsburgh,15,-1,,,0,,,,,,,0,0
Meredith Sharp,University of Pittsburgh,18,100.00,33,3,11.0,69,3,51,3,45,3,198,16.5
Tia VanLandeghem,University of Pittsburgh,18,-1,,,0,,,,,,,0,0
Jennifer Young,University of Pittsburgh,18,53.30,,,0,,,,,,,0,0
Samantha Baird,University of Pittsburgh,19,27.19,,,0,,,,,,,0,0
Rachel Brown,University of Pittsburgh,19,6.06,0,3,0.0,0,3,14,3,12,3,26,2.1666666666666665
Kirsten Groff,University of Pittsburgh,19,23.71,,,0,,,,,,,0,0
Meghan Joram,University of Pittsburgh,19,12.38,0,3,0.0,,,0,3,0,3,0,0.0
Allison Murslack,University of Pittsburgh,17,24.93,,,0,,,,,0,3,0,0.0
Cheyanne Neuenschwander,University of Pittsburgh,19,100.00,,,0,6,3,,,,,6,2.0
Madison Thomas,University of Pittsburgh,19,15.09,0,3,0.0,0,3,0,3,,,0,0.0
Hannah Wittman,University of Pittsburgh,19,18.67,0,3,0.0,,,,,,,0,0.0
HANNAH BUMGARNER,University of Pittsburgh,20,18.89,,,0,,,,,,,0,0
Lisa Coe,University of Pittsburgh,20,-1,,,0,,,,,,,0,0
Cameryn Cook,University of Pittsburgh,20,21.55,,,0,,,,,,,0,0
KATHERINE COOPER,University of Pittsburgh,20,27.23,,,0,,,,,,,0,0
Colleen Daday,University of Pittsburgh,20,20.65,3,3,1.0,0,3,7,3,,,10,1.1111111111111112
Valerie Daigneault,University of Pittsburgh,20,11.37,7,4,1.75,25,5,32,5,39,4,103,5.722222222222222
